datum, rekeningnummer, debiteurnummer, crediteurnummer, medewerker, omschrijving, bedrag, faktuurnr, GUID
2003-10-02 00:00:00,     1300, 60020      ,,80001,Betaling Deltabike,-2100,    4958,{C37D4A5B-1914-4053-97F2-08EB549BFB20}
2003-01-03 00:00:00,     1160,, 60008      ,80026, 60008/228754 factuur 228754 overname openstaande posten1000,-7000,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60008      ,80026, 60008/228754 factuur 228754 overname openstaande posten1000,7000,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1160,, 60008      ,80026, 60008/229875 factuur 229875 overname openstaande posten1000,-6894,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60008      ,80026, 60008/229875 factuur 229875 overname openstaande posten1000,6894,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1160,, 60024      ,80038, 60024/2254098 factuur 2254098 overname openstaande posten25,-7854,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60024      ,80038, 60024/2254098 factuur 2254098 overname openstaande posten25,7854,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1160,, 60024      ,80038, 60024/229876 factuur 229876 overname openstaande posten2514,-500,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60024      ,80038, 60024/229876 factuur 229876 overname openstaande posten2514,500,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1160,, 60034      ,80036, 60034/2287421 factuur 2287421 overname openstaande posten30,-4500,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60034      ,80036, 60034/2287421 factuur 2287421 overname openstaande posten30,4500,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1160,, 60034      ,80036, 60034/2289765 factuur 2289765 overname openstaande posten30,-11174,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60034      ,80036, 60034/2289765 factuur 2289765 overname openstaande posten30,11174,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1160,, 60098      ,80001, 60098/226539 factuur 226539 overname openstaande postenover,-1500,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60098      ,80001, 60098/226539 factuur 226539 overname openstaande postenover,1500,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1160,, 60098      ,80001, 60098/2298754 factuur 2298754 overname openstaande posten26,-10578,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-01-03 00:00:00,     1600,, 60098      ,80001, 60098/2298754 factuur 2298754 overname openstaande posten26,10578,,{06B97A76-8D84-4E89-BA26-FDF7B6974743}
2003-02-05 00:00:00,     1160,, 60011      ,80038,60011/20000002 1020 7635419 XX1020/7635419XX lopende orders2,-33917.379999999997,20000002,{44A603EA-A284-40E7-AA6F-98668445DB84}
2003-02-05 00:00:00,     1600,, 60011      ,80038,60011/20000002 1020 7635419 XX1020/7635419XX lopende orders2,33917.379999999997,20000002,{44A603EA-A284-40E7-AA6F-98668445DB84}
2003-02-05 00:00:00,     1160,, 60012      ,80001, 60012/20000003 MD1990 59383725 XXMD1990/59383725XX lopende,-2656.5599999999999,20000003,{44A603EA-A284-40E7-AA6F-98668445DB84}
2003-02-05 00:00:00,     1600,, 60012      ,80001, 60012/20000003 MD1990 59383725 XXMD1990/59383725XX lopende,2656.5599999999999,20000003,{44A603EA-A284-40E7-AA6F-98668445DB84}
2003-02-22 00:00:00,     2400,, 60037      ,80038,bijbest. brochures,1500,20000007,{8D855804-EFFA-4EE1-94CD-1CC44E6A26CA}
2003-02-22 00:00:00,     1511,, 60085      ,80038,,285,20000007,{8D855804-EFFA-4EE1-94CD-1CC44E6A26CA}
2003-02-22 00:00:00,     1600,, 60037      ,80038,inkoopfactuur bestelling 52030006,-1785,20000007,{8D855804-EFFA-4EE1-94CD-1CC44E6A26CA}
2009-07-23 00:00:00,     1160, 60013      ,,80019,,-500,,{AA54CC88-58AD-4A35-85EB-BDC4F1785D85}
2009-07-23 00:00:00,     1300, 60013      ,,80019,,500,,{AA54CC88-58AD-4A35-85EB-BDC4F1785D85}
2009-07-23 00:00:00,     1160, 60013      ,,80019,,-1000,10000097,{AA54CC88-58AD-4A35-85EB-BDC4F1785D85}
2009-07-23 00:00:00,     1300, 60013      ,,80019,,1000,10000097,{AA54CC88-58AD-4A35-85EB-BDC4F1785D85}
2009-07-23 00:00:00,     1160, 60014      ,,80019,,-1500,10000121,{AA54CC88-58AD-4A35-85EB-BDC4F1785D85}
2009-07-23 00:00:00,     1300, 60014      ,,80019,,1500,10000121,{AA54CC88-58AD-4A35-85EB-BDC4F1785D85}
2009-07-23 00:00:00,     8000, 60013      ,,80019,,-210.08000000000001, 9700001,{AE89B9ED-5F81-4BA7-8CF3-C97F1195BAA2}
2009-07-23 00:00:00,     1502,, 60085      ,80019,,-39.920000000000002, 9700001,{AE89B9ED-5F81-4BA7-8CF3-C97F1195BAA2}
2009-07-23 00:00:00,     1300, 60013      ,,80019,,250, 9700001,{AE89B9ED-5F81-4BA7-8CF3-C97F1195BAA2}
2009-07-28 00:00:00,     4100,,,1,,500,10000122,{701B39AB-7793-4927-B74D-55D455AE05FB}
2009-07-28 00:00:00,     2600,,,1,,-500,10000122,{701B39AB-7793-4927-B74D-55D455AE05FB}
2009-07-31 00:00:00,     0200,, 60024      ,1,TOMTOM,1000,20000020,{BCA824D5-31BC-4964-9B32-0C1A763657A9}
2009-07-31 00:00:00,     1600,, 60024      ,1,TOMTOM,-1000,20000020,{BCA824D5-31BC-4964-9B32-0C1A763657A9}
2009-07-31 00:00:00,     2222,,,1,,-500,20000020,{D5C42A6F-922B-47D5-8135-CB64D62F371C}
2009-07-31 00:00:00,     0200,, 60024      ,1,,500,20000020,{D5C42A6F-922B-47D5-8135-CB64D62F371C}
2009-07-31 00:00:00,     0230,,,80001,test,-903.36000000000001,20000008,{96C673DA-82DE-4599-BCC0-174CF8C6AE6A}
2009-07-31 00:00:00,     4000,, 60098      ,80001,test,903.36000000000001,20000008,{96C673DA-82DE-4599-BCC0-174CF8C6AE6A}
2009-07-31 00:00:00,     4000,, 60098      ,80001,test,-105.42,20000008,{9436F8E7-D4AB-4256-BF28-5BBB398A2942}
2009-07-31 00:00:00,     0235,, 60098      ,80001,test,105.42,20000008,{9436F8E7-D4AB-4256-BF28-5BBB398A2942}
2009-07-31 00:00:00,     0200,,,1,test verkopen,-1500,20000020,{9D208507-AAAF-4E23-A046-4E2231B745FF}
2009-07-31 00:00:00,     4000,, 60024      ,1,test verkopen,1500,20000020,{9D208507-AAAF-4E23-A046-4E2231B745FF}
2009-07-31 00:00:00,     0200,, 60024      ,1,T2,1000,20000021,{EFC61930-DF82-4379-88B2-17B5A8804A0B}
2009-07-31 00:00:00,     1511,, 60085      ,1,T2,190,20000021,{EFC61930-DF82-4379-88B2-17B5A8804A0B}
2009-07-31 00:00:00,     1600,, 60024      ,1,T2,-1190,20000021,{EFC61930-DF82-4379-88B2-17B5A8804A0B}
2009-07-31 00:00:00,     0200,,,80019,,-1000,20000021,{9076DAF3-4827-4750-B82D-EF1BC780F603}
2009-07-31 00:00:00,     0205, 60013      ,,80019,,0,20000021,{9076DAF3-4827-4750-B82D-EF1BC780F603}
2009-07-31 00:00:00,     4000, 60013      ,,80019,,1000,20000021,{9076DAF3-4827-4750-B82D-EF1BC780F603}
2009-07-31 00:00:00,     2800,,,1,,200,10000125,{23939C01-A408-4F76-A469-2BDB6FD9D303}
2009-07-31 00:00:00,     2810,,,1,,-200,10000125,{23939C01-A408-4F76-A469-2BDB6FD9D303}
2009-07-31 00:00:00,     1010,000000      ,,1,,5000,10000123,{9E2099EE-0599-47CA-A5B7-8E92C13132EF}
2009-07-31 00:00:00,     2600,000000      ,,1,,-5000,10000123,{9E2099EE-0599-47CA-A5B7-8E92C13132EF}
